,Name,Line
204,michael,but the best thing about it is that were not going to have to give you any severance pay because that is gross misconduct and just clean out your desk im sorry
205,michael,pam starts crying you been xd punk laughing surprise its a joke we were joking around see ok he was in on it he was my accomplice and it was kind of a morale booster thing and we were showing the new guy around giving him the feel of the place so you god we totally got you
206,pam,youre a jerk
207,michael,i dont know about that
208,michael,what is the most important thing for a company is it the cash flow is it the inventory nuhuh its the people the people my proudest moment here was not when i increased profits by  or when i cut expenses without losing a single employee no no no no no it was a young guatemalan guy first job in the country barely spoke english he came to me and said mr scott would you be the godfather of my child wow wow didnt work out in the end we had to let him go he sucked
209,pam,hey
210,jim,hey
211,jim,how are things
212,pam,good i thought you were going out for a drink with
213,jim,oh no i just decided not to hows your headache
214,pam,its better thanks
215,jim,good good
216,pam,yeah
217,jim,thats great
218,pam,is
219,jim,yeah
220,pam,um are you
221,jim,am i walking out
222,pam,yes
223,jim,yes i do you want to
224,pam,yeah
225,jim,great let me just
226,jim,car horn honking oh roy
227,pam,yeah listen have a nice weekend
228,jim,yeah definitely you too enjoy it looks at camera you know what just come here
229,dwight,dwight schrute my fathers name also dwight schrute my grandfathers name dweide schrude amish thats my family i dont know where they came the amish came from originally uh amland
230,michael,holding up a dundie and pretending it is talking hello im michael scott im the best boss in the world
231,jim,my name is jim halpert and i am a sales rep which is a very important job um without me dozens literally dozens of small businesses would go paperless  they would have to write on their hands or bed sheets or who knows you know total chaos total chaos i mean or they could get their paper somewhere else staples maybe i dont know
232,michael,pam pampam pam has been with us for  forever right pam
233,pam,i guess
234,michael,yeah at one time or another every guy in the office has sprayed on pam
235,pam,what
236,michael,messages
237,dwight,people respond to the human touch and thats what i give them i can look at a client and i can say hello how are you hows business been going and we can go back and forth for sometime and uh then ill say how much how many reams do you want and theyll order it and then ill take care of all the sales ill make sure that they get that paper and they appreciate that
238,michael,ah right here three stooges high five michael and ryan high five oh pam its a guy thing pam camera cuts to pam then back to michael now who was the one before curly
239,ryan,uh shemp
240,michael,curly very good curly joe derita
241,ryan,just curly joe derita was different
242,michael,well comedys kinda my thing watch this heres curly joe mmm me me me me me me me me me me me me oh i forgot here we go yelling in cod german im hitler right continues with cod german me me me me me me curly joe hitler laughs
243,michael,all these people are walking around and theyre happy and their lives are just going along ignorance is bliss but if they knew what was lurking on the other side of that fence that furry monster imitating monster im gonna get you downsizing no they wouldnt theyd freak and im not going to play god they look to me for support and they look to me for guidance and leadership and i think if i could lie to them and it serves them then thats what im going to do
244,michael,so this is our sales staff they are the ones who are making calls and making us lots of money comes to a screeching halt and laughs this is accounting the numbers dudes do not let the job description fool you they are all completely crazy especially that guy he is a mental patient camera zooms in on kevin not literally of course that wouldnt work the last place youd want somebody like that is accounting hides behind office plant very interesting but stupid artie johnson its a crazy place
245,angela,my name is angela and um im in charge of the accounting department there are three of us kevin and oscar
246,oscar,its my job to keep the books in order and um i im uh immediately below my supervisor
247,angela,oscar how do i describe him hes like a stapler do i need a stapler yes but im still the one that has to push it down
248,oscar,theres a lot of anxiety i dont want to get laid off this place is like five minutes from my house
249,kevin,i dont wanna be laid off this is a good job for me cause i need my nights free im in a band
250,angela,not very worried about downsizing right now because uh i think youve met kevin and um
251,oscar,can i just say one thing um my friend is jewish art geller and a couple of years ago he um showed me how you can plant a tree in israel so i planted a tree so you know cause yeah we work in paper well you know i try to give back
252,angela,i have a lot of cat figurines on my desk i think cats really are old souls and uh phyllis thinks so too
253,michael,what you dont know well it can hurt you but if you dont know it wont hurt you then you can just be happy for a little while at least
254,michael,whats that
255,pam,wired
256,michael,oh john belushi what a crazy guy phew freaked myself out this morning
257,pam,oh yeah
258,michael,yeah i thought i found a lump i checked the uh i check the jewels every month this time you know its a little different it was fine it was fine but freaky man you know testicular cancer god cancer whoa testicles so whats um what you eating
259,pam,smoked turkey
260,michael,oh place around the corner nice all right see you later
261,michael,do i need to speak up grabs boom microphone hello
263,dwight,thats fine
265,dwight,im sorry it makes me nervous
267,dwight,i understand its in a blind spot because im trained in several martial arts and one of them uh includes uh an awareness that the masters bring uh of anything on all sides of you it could be behind you or whatever this is directly in a blind spot so im trained to respond negatively to something right above my head new take this now i have an eye on you see its on my periphery and if i needed to block it attack it stop it somehow does a martial arts move with his hands i could come right out i mean i know youre doing your job but documentary crew member talking over dwight its
268,dwight,im doing my job
269,michael,i think better to be a happy idiot then a um then someone who knows the truth
270,michael,hey uh can i help you out in here
271,mr brown,oh im all set thanks
272,michael,gotcha good id go with the rows thats a good idea
273,michael,today is diversity day and someones going to come in and talk to us about diversity its something that ive been pushing that ive been wanting to push for a long time and corporate mandated it and i never actually talked to corporate about it they kind of beat me to the punch the bastards but i was going to and i think its very important that we have this im very very excited
274,jim,thats the thing its very sturdy paper and on the back it says  postconsumer content what hello uhhuh wait what im sorry mr decker i think im losing you shedder whirring hello hello yeah hold on one second i dont know hold on one second
275,jim,do you really have to do that right now
276,dwight,yes i do i should have done it weeks ago actually
277,jim,mr decker im sorry about that what were you can you hold on one second yeah just one second thanks power off silence hello thats it perfect so what i was saying dialing tone hello thanks dwight
278,dwight,retaliation tit for tit
279,jim,that is not the expression
280,dwight,well it should be
281,jim,this is my biggest sale of the year they love me over there for some reason im not really sure why but i make one call over there every year just to renew their account and that one call ends up being  of my commission for the whole year so i buy a mini bottle of champagne celebrate a little and this year im pushing recycled paper on them for one percent more i know im getting cocky right
282,jim,solitaire
283,pam,yeah freecell
284,jim,six on seven
285,pam,i know i saw that
286,jim,so then why didnt you do it
287,pam,im saving that cause i like it when the cards go ttststchtchtch
288,jim,who doesnt love that
289,michael,hey oscar how are you doing man
290,oscar,all right
291,michael,did you have a good weekend going there
292,oscar,it was fine
293,michael,oh yeah i bet it was fun to mr brown oh hey this is oscar
294,oscar,martinez
295,michael,right see i dont even know firstname basis
296,mr brown,great were all set
297,michael,oh hey well diversity everybody lets do it oscar works in here jim could you wrap it up please
298,jim,yeah uh mr decker please
299,michael,its diversity day jim i wish every day was diversity day
300,jim,you know what im actually going to have to call you back thank you sorry about that
301,mr brown,thank you thank you thank you great
302,michael,come on people lets get em in get in the cards get in the cards
303,mr brown,thank you thank you very much ok thanks for filling these out and i promise thisll be quick at diversity today our philosophy is about honesty and positive expectations we believe that  of the problems in the workplace arise simply out of ignorance
304,michael,you know what this is a colorfreezone here stanley i dont look at you as another race
305,mr brown,uh see this is what im talking about we dont have to pretend were colorblind
306,michael,exactly were not
307,mr brown,thats fighting ignorance with more ignorance
308,michael,with tolerance
309,mr brown,no with more ignorance
310,michael,ignorance
311,mr brown,right exactly uh instead we need to celebrate our diversity
312,michael,lets celebrate
313,mr brown,right ok
314,michael,celebrate good times come on lets celebrate diversity right
315,mr brown,yes exactly now heres what were going to do ive noticed that
316,michael,you know what heres what were going to do why dont we go around and everybody everybody say a race that you are attracted to sexually i will go last go
317,dwight,i have two white and indian
318,mr brown,actually id prefer not to start that way michael i would love to have your permission to run this session can i have your permission
319,michael,yes
320,mr brown,thank you very much and it would also help me if you were seated
321,michael,ok
322,mr brown,thank you ok now at the start of the session i had you all write down an incident that you found offensive in the workplace now what im going to do is choose one and were going to act it out
323,dwight,a few of the ground rules
324,michael,hey hey why dont you run it by me and ill run it by him
325,dwight,ok can we steer away from gay people
326,mr brown,um
327,dwight,im sorry its an orientation its not a race plus a lot of other races are intolerant of gays soparadox
328,mr brown,well we only have an hour
329,dwight,i figured it would save time
330,michael,ok why dont we just defer to mr
331,mr brown,mr brown
332,michael,ah oh right ok first test i will not call you that
333,mr brown,well its my name its not a test ok um so looking through the cards ive noticed that many of you wrote down the same incident which is ironic because its the exact incident i was brought in here to respond to now how many of you are familiar with the chris rock routine very good ok
334,michael,how come chris rock can do a routine and everybody finds it hilarious and groundbreaking and then i go and do the exact same routine same comedic timing and people file a complaint to corporate is it because im white and chris is black
335,mr brown,so were going to reenact this with a more positive outcome
336,michael,i will play the chris rock guy i would like to see someone else pull this off
337,mr brown,well lets have someone who wasnt involved in the reenactment
338,michael,ok i will play guy listening
339,mr brown,great guy listening ok anyone else remember
340,kevin,i remember
341,mr brown,great youre the chris rock guy and youre guy listening
342,michael,ok
343,michael,kevin is a great guy hes a great accountant he is not much of an entertainer
344,kevin,basically there are two types of black people and black people are actually more racist because they hate the other type of black people every time the one type wants to have a good time then the other type comes in and makes a real mess
345,michael,ok im sorry im sorry hes ruin hes butchering it could you just let me as chris rock every time every time black people want to have a good time some ignant ass bleep i take care of my kid
346,mr brown,wait a second
347,michael,bleep they always want credit for something they supposed to do
348,mr brown,stop it
349,michael,as chris rock what you want a cookie
350,mr brown,now this is a simple acronym hero uh at diversity today we believe it is very easy to be a hero all you need are honesty empathy respect and openmindedness
351,dwight,excuse me im sorry but thats not all it takes to be a hero
352,mr brown,oh great well what is a hero to you
353,dwight,a hero kills people people that wish him harm
354,mr brown,ok
355,dwight,a hero is parthuman and partsupernatural a hero is born out of a childhood trauma or out of a disaster that must be avenged
356,mr brown,ok youre thinking of a superhero
357,dwight,we all have a hero in our heart
358,mr brown,now i need you to take these forms this kind of expresses the joint experience we had today and i need you to look em over and sign them as kind of a group pledge
359,michael,clears throat i dont think i can sign this
360,mr brown,i cant leave until you do
361,michael,well ok it says here that i learned something and i knew all this stuff already so i know i could sign something that says that i taught something or that i helped you teach something so pam where is she pam could we change something on this
362,mr brown,michael can i talk to you candidly
363,michael,sure
364,mr brown,we both know that im here because of the comments you made
365,michael,heres the thing this office i think this is very advanced in terms of racial awareness and its probably more advanced than youre used to thats probably throwing you off a little bit
366,mr brown,um its not throwing me i need your signature
367,michael,ok well i know you told me that several times
368,mr brown,yes but youre not listening to me yours is the only signature i need
369,michael,ok
370,mr brown,those are my instructions from the corporate offices to put you through this seminar for the comments that you made the reason i made copies for everyone was so you wouldnt be embarrassed
371,michael,well here i am thinking that you actually cared about diversity training and you dont
372,mr brown,dont worry about dating
373,michael,i wont
374,mr brown,ok thank you
375,michael,yeah yeah
376,michael,i regret my actions i regret offending my coworkers i pledge to bring my best spirit of honesty empathy respect and openmindedness openmindedness is that even a word into the workplace in this way i can truly be a hero signed daffy duck laughing hes going to lose it when he reads that
377,jim,yeah hi is mr decker around oh well could you just have him call me after lunch thank you
378,michael,i pledge to always keep an open mind and an open heart i do believe in that part of the pledge i that just read but a pledge come on i mean who are we the girl scouts no look the guy mr brown he got us halfway there he got us talking well no i got us talking he got us nothing he insulted us and he abandoned us you call that diversity training i dont were there any connections between any of us did anyone look each other in the eye was there any emotion going on no where was the heart i didnt see any heart where was my oprah moment ok get as much done as you can before lunch because afterward im going to have you all in tears
379,michael,all right everybody pretty come on here we go its time lets do some good
380,toby,hey were not all going to sit in a circle indian style are we laughing
381,michael,get out
382,toby,im sorry
383,michael,no this is not a joke ok that was offensive and lame so double offensive this is an environment of welcoming and you should just get the hell out of here ok lets go lets do it come on lets have some fun everybody here we go take a seat cop a squat and um thanks for coming in um diversity is the cornerstone of progress as ive always said but dont take my word for it lets take a look at the tape
384,michael,on the tape hi im michael scott im in charge of dunder mifflin paper products here in scranton pennsylvania but im also the founder of diversity tomorrow because today is almost over abraham lincoln once said that if youre a racist i will attack you with the north and those are the principles that i carry with me in the workplace
385,michael,ok questions comments anybody jim
386,jim,uh is that it
387,michael,yes i only had an hour to put it together but im going to add on to it later on
388,kevin,it was kind of hard to hear
389,michael,uh yes that probably had something to do with the camera work anybody else um
390,kelly,i have a customer meeting
391,michael,yeah well if you leave well only have two left yes enjoy absolutely namaste ok well since i am leading this lets get down to business and why dont i just kind of introduce myself ok um i am michael and i am part english irish german and scottish sort of a virtual united nations but what some of you might not know is that i am also part native american indian
392,oscar,what part native american
393,michael,two fifteenths
394,oscar,two fifteenths that fraction doesnt make any sense
395,michael,well you know what its kind of hard for me to talk about it their suffering so who else lets get this popping come on whos going whos going lets go here oscar right here youre on
396,oscar,ok michael um both my parents were born in mexico
397,michael,oh yeah
398,oscar,and uh they moved to the united sates a year before i was born so i grew up in the united states
399,michael,wow
400,oscar,my parents were mexican
401,michael,wow that is that is a great story thats the american dream right there right
402,oscar,thank yeah
403,michael,um let me ask you is there a term besides mexican that you prefer something less offensive
404,oscar,mexican isnt offensive
405,michael,well it has certain connotations
406,oscar,like what
407,michael,like i dont i dont know
408,oscar,what connotations michael you meant something
409,michael,no now remember that honesty
410,oscar,im just curious
411,michael,empathy respect phone ringing jim jim
412,jim,hello hello
413,michael,i have something here i want you to take a card put it on your fore dont look at the card i want you to take the card and put it on your forehead and take a card take a card any card um and i want you to treat other people like the race that is on their forehead ok so everybody has a different race nobody knows what their race is so i want you to really go for it cause this is real you know this isnt just an exercise this is real life and i have a dream that you will really let the sparks fly get er done
414,michael,why because martin luther king is a hero of mine theres this great chris rock bit about how streets named after martin luther king tend to be more violent im not going to do it but its
415,michael,oh this is a good one
416,pam,um hi how are you
417,stanley,fine how are you
418,pam,great
419,michael,push it
420,stanley,i admire your cultures success in america
421,pam,thank you
422,michael,good bom bom bombom bom come on olympics of suffering right here slavery versus the holocaust come on
423,stanley,who am i supposed to be
424,michael,no that was inadvertent we didnt actually plan that
425,dwight,lots of cultures eat rice doesnt help me
426,dwight,um shalom id like to apply for a loan
427,pam,thats nice dwight
428,dwight,ok do me something stereotypical so i can get it really quick
429,pam,ok i like your food
430,dwight,outback steakhouse australian accent im australian mate
431,michael,pam come on i like your food come on stir the pot stir the melting pot pam lets do it lets get ugly lets get real
432,pam,ok if i have to do this based on stereotypes that are totally untrue that i do not agree with you would maybe not be  a very good driver
433,dwight,oh man am i a woman
434,michael,youll notice i didnt have anybody be an arab i thought that would be too explosive no pun intended but i just though too soon for arabs maybe next year um you know the balls in their court
435,jim,what are you watching
436,ryan,chappelles show
437,jim,really
438,ryan,i downloaded it on her computer i hope she doesnt mind she just had a lot of extra space
439,jim,no way i think she likes this stuff
440,ryan,great shes cute huh
441,jim,yeah you know shes engaged but
442,ryan,oh no the girl in the sketch
443,jim,oh yeah shes hot
444,kevin,hey
445,angela,hey
446,kevin,you wanna go to the beach
447,angela,sure
448,kevin,you wanna get high
449,angela,no
450,kevin,i think you do mon
451,angela,stop
452,michael,ok all right no its good you just need to push it you need to go a little bit further all right ok
453,michael,voice raised indian accent kelly how are you
454,kelly,i just had the longest meeting
455,michael,oh welcome to my convenience store would you like some googi googi i have some very delicious googi googi only  cents plus tax try my googi googi lowering voice try my googi googi highpitched voice try my googi googi try my slap
456,michael,trying not to cry all right all right yes that was great she gets it now she knows what its like to be a minority
457,jim,on the phone mr decker we didnt lose your sale today did we excellent ok let me just get your whats that no we didnt close last time i just need your oh wwhat code were you given oh ok thats actually another salesman here i can redo it if you want to do that oh he gave you a discount no i dont blame you
458,michael,i just hated it when that guy was in here mr brown if that was his real name i mean he had never met any of us before and here he was telling us how to do our thing i just wanted i just wanted to do it our way you know on our own man i should have gotten some food
459,kevin,itialian accentmaybe some spaghetti
460,michael,okay kevin you can take that off that thing ok that would really really have shown him up wouldnt it if id brought in some burritos or some colored greens or some pad thai i love pad thai
461,stanley,its collard greens
462,michael,what
463,stanley,its collard greens
464,michael,that doesnt really make sense because you dont call them collared people thats offensive hmmm ok well its after five so thank you very much buena vista oscar thank you good job oh my man thank you brazil nice
465,jim,pam is asleep resting her head on jims shoulder um hey
466,pam,stirs mmmm
467,jim,hey
468,pam,oh
469,jim,we can go
470,pam,sorry
471,jim,thats fine
472,jim,uh not a bad day
473,mr brown,thanks for filling these out i promise this will be quick we only have about an hour
474,michael,yeah i would like to see us erase  years of racism in an hour
475,mr brown,does this company have  years to erase
476,michael,no the country
477,mr brown,oh right more like  years
478,michael,yeah more like a 
479,mr brown,okay um uh ill try to make this quick
480,dwight,i am a salesman okay and i dont think we should be doing this during prime sales hours if you can prove to me that diversity is going to help my sales ill go elephant running with james earl jones i really will but not on spec
481,mr brown,hero at diversity today we believe it is very easy to be a hero all you need are honesty empathy respect and openmindedness
482,michael,i just think that hero its cute but its its empty you know its easy dwight you know what i came up with some terms of my own could you put these on the board the first one is inclusion new attitudes colorblind
483,mr brown,oh nice
484,michael,expectations
485,mr brown,good
486,michael,thank you sharing
487,mr brown,great
488,michael,and tolerance
489,mr brown,beautiful
490,pam,um that spells incest
491,mr brown,oh my sorry that is not appropriate
492,michael,well its not ideal but you have to give me some credit cause i made it into a word
493,mr brown,yeah but its not appropriate this is not helpful as a memory aid
494,michael,i will give you a number of reasons why it is actually okay first incest is bad racism is bad no brainer right two incest were all a family right were all brothers and sisters racial message um number three and this is a fact the states where they have a lot of racism are the states where they have a lot of incest okay and finally
495,mr brown,okay michael i just
496,michael,no no no no wait final one final one this is important the more we can encourage interracial dating as a society the further away we get from incest literally
497,pam,it wouldve been just as easy for him to spell insect of course that wouldnt have made any sense either
498,mr brown,does anyone have anything else at all anyone besides michael
499,ryan,i have something
500,mr brown,yes please
501,ryan,um well i grew up here in scranton and when i was a kid the guy who lived next door was a former baseball player who actually played pro ball before the leagues were integrated and he had the most incredible stories about
502,michael,okay im sorry im sorry this guys a temp and i shouldve told you that
503,mr brown,no no no no an outsiders perspective would probably be pretty helpful
504,michael,yeah but no seriously uh you know hes not a member of the full staff so uh ryan you wanna just step outside
505,ryan,what do you want me to do
506,michael,well maybe you should go down to the parking lot you know what yes go down to the parking lot and check to se if any of our guests have parked in the handicapped spots cool cause the handicaps get a raw deal oh you know what that ties right into new attitudes new attitudes about handicap people very important
507,mr brown,im sorry michael were actually out of time
