,Name,Line
177,pam, roy's my fiance. we've been engaged about three years. we were supposed to get married in september but i think we're gonna get married in the spring.
178,pam, do you mind if i go out for a drink with these guys?
179,roy," no, no. come on. let's get out of here and go home."
180,pam, ok. i'm gonna be a few minutes. so it's only twenty past five. i still have to do my faxes.
181,jim, you know what? you should come with us. because you know we're all going out and it could be a good chance for you to see what people are like outside the office. i think it could be fun.
182,roy," it sounds good. seriously, we've gotta get going."
183,jim," yeah, yeah. "
184,jim, um... what's in the bag?
185,roy, just tell her i'll talk to her later.
186,jim," no, definitely. all right, dude. awesome. will do."
187,jim, do i think i'll be invited to the wedding? [scratches head]
188,michael," so have you felt the vibe yet? we work hard, we play hard. sometimes we play hard when we should be working hard. right? i guess the atmosphere that i've created here is that i'm a friend first, and a boss second... and probably an entertainer third. [knock at door] just a second. right? oh, hey do you like the jamie kennedy experiment? punk'd and all that kind of stuff?"
189,ryan, yeah.
190,michael," you are gonna be my accomplice. just go along with it, ok?"
191,ryan, all right.
192,michael," just follow my lead. don't pimp me, all right? come in. so, uh, corporate just said that i don't want to..."
193,pam, you got a fax.
194,michael," oh, thank you. pam, can you come in here for a sec. just have a seat. i was gonna call you in anyway. you know ryan. as you know, there is going to be downsizing. and you have made my life so much easier in that i am going to have to let you go first."
195,pam, what? why?
196,michael," why? well, theft and stealing."
197,pam, stealing? what am i supposed to have stolen?
198,michael, post-it notes.
199,pam," post-it notes? what are those worth, 50 cents?"
200,michael," 50 cents, yeah. if you steal a thousand post-it notes at 50 cents apiece, and you know,  you've made a profit... margin. you're gonna run us out of business, pam."
201,pam, are you serious?
202,michael, yeah. i am.
203,pam, i can't believe this. i mean i have never even stolen as much as a paperclip and you're firing me.
204,michael, but the best thing about it is that we're not going to have to give you any severance pay. because that is gross misconduct and... just clean out your desk. i'm sorry.
205,michael," [pam starts crying] you been x'd punk! [laughing] surprise! it's a joke. we were joking around. see? ok. he was in on it. he was my accomplice. and it was kind of a morale booster thing. and we were showing the new guy around, giving him the feel of the place. so you... god, we totally got you."
206,pam, you're a jerk.
207,michael,  i don't know about that.
208,michael," what is the most important thing for a company? is it the cash flow? is it the inventory? nuh-uh. it's the people. the people. my proudest moment here was not when i increased profits by 17% or when i cut expenses without losing a single employee. no, no, no, no, no. it was a young guatemalan guy. first job in the country, barely spoke english. he came to me, and said, ""mr. scott, would you be the godfather of my child?"" wow. wow. didn't work out in the end. we had to let him go. he sucked."
209,pam, hey.
210,jim, hey.
211,jim, how are things?
212,pam, good. i thought you were going out for a drink with...
213,jim," oh no, i just decided not to. how's your headache?"
214,pam," it's better, thanks. "
215,jim, good. good. 
216,pam, yeah.
217,jim, that's great
218,pam, is...?
219,jim, yeah?
220,pam, um... are you...
221,jim, am i walking out?
222,pam, yes.
223,jim," yes, i... do you want to..."
224,pam, yeah.
225,jim, great. let me just...
226,jim," [car horn honking] oh, roy."
227,pam," yeah. listen, have a nice weekend."
228,jim," yeah, definitely. you too. enjoy it. [looks at camera] you know what, just come here."
229,dwight," dwight schrute. my father's name, also dwight schrute. my grandfather's name, dweide schrude, amish. that's my family. i don't know where they came, the amish, came from originally. uh, amland."
230,michael, [holding up a dundie and pretending it is talking] hello. i'm michael scott. i'm the best boss in the world.
231,jim," my name is jim halpert and i am a sales rep, which is a very important job. um, without me dozens literally dozens of small businesses would go paperless.  they would have to write on their hands, or bed sheets, or who knows you know. total chaos, total chaos. i mean or they could get their paper somewhere else. staples maybe. i don't know."
232,michael," pam! pam-pam! pam has been with us for...  forever. right, pam?"
233,pam, i guess.
234,michael," yeah, at one time or another every guy in the office has sprayed on pam."
235,pam, what?
236,michael, messages?
237,dwight," people respond to the human touch and that's what i give them. i can look at a client and i can say, ""hello, how are you? how's business been going?"" and we can go back and forth for sometime and uh, then i'll say, how much, how many reams do you want?"" and they'll order it and then i'll take care of all the sales. i'll make sure that they get that paper. and they appreciate that."
238,michael," ah, right here. three stooges. high five. [michael and ryan high five] oh, pam. it's a guy thing, pam. [camera cuts to pam then back to michael] now, who was the one before curly?"
239,ryan," uh, shemp."
240,michael, curly? very good. curly joe derita.
241,ryan, just curly. joe derita was different.
242,michael," well, comedy's kinda my thing. watch this, here's curly joe. mmm. me, me, me, me, me, me. me, me, me, me, me, me. oh, i forgot. here we go. [yelling in cod german] i'm hitler. right. [continues with cod german] me, me, me, me, me, me. curly joe hitler. [laughs]"
243,michael," all these people are walking around and they're happy and their lives are just going along, ignorance is bliss. but if they knew what was lurking on the other side of that fence that furry monster. [imitating monster] ""i'm gonna get you, downsizing."" no. they wouldn't... they'd freak. and i'm not going to play god. they look to me for support. and they look to me for guidance and leadership. and i think if i could lie to them and it serves them, then that's what i'm going to do."
244,michael," so this is our sales staff. they are the ones who are making calls and making us lots of money. [comes to a screeching halt and laughs] this is accounting. the numbers dudes. do not let the job description fool you, they are all completely crazy. especially that guy, he is a mental patient. [camera zooms in on kevin] not literally of course, that wouldn't work. the last place you'd want somebody like that is accounting. [hides behind office plant] ""very interesting, but stupid."" artie johnson. it's a crazy place."
245,angela," my name is angela and um, i'm in charge of the accounting department. there are three of us, kevin and oscar."
246,oscar," it's my job to keep the books in order. and, um, i... i'm, uh, immediately below my supervisor."
247,angela," oscar, how do i describe him. he's like a stapler. do i need a stapler? yes. but, i'm still the one that has to push it down."
248,oscar, there's a lot of anxiety. i don't want to get laid off. this place is like five minutes from my house.
249,kevin, i don't wanna be laid off. this is a good job for me. 'cause i need my nights free. i'm in a band.
250,angela," not very worried about downsizing right now. because, uh, i think you've met kevin and um..."
251,oscar," can i just say one thing? um, my friend is jewish, art geller. and a couple of years ago he, um, showed me how you can plant a tree in israel, so i planted a tree. so... you know 'cause... yeah we work in paper. well, you know, i try to give back."
252,angela," i have a lot of cat figurines on my desk. i think cats, really, are old souls. and, uh, phyllis thinks so too."
253,michael," what you don't know... well, it can hurt you, but if you don't know it won't hurt you. then, you can just be happy for a little while at least."
254,michael, what's that?
255,pam, wired.
256,michael," oh, john belushi. what a crazy guy. phew, freaked myself out this morning."
257,pam," oh, yeah."
258,michael," yeah. i thought i found a lump. i checked the, uh... i check the jewels every month. this time... you know, it's a little different. it was fine. it was fine. but freaky, man, you know. testicular cancer, god. cancer, whoa testicles. so... what's, um... what you eating?"
259,pam, smoked turkey.
260,michael," oh, place around the corner. nice. all right. see you later."
261,michael, do i need to speak up? [grabs boom microphone] hello.
262,documentary crew member, [boom microphone drops into the camera shoot] can you move it out? can you move it? is that all right? can you make that work?
263,dwight, that's fine.
264,documentary crew member,"  [new take] no, you don't even need ... that's fine. we'll keep it..."
265,dwight, i'm sorry it makes me nervous.
266,documentary crew member," understood, but it is what we need to capture what you're saying as clearly as possible."
267,dwight," i understand. it's in a blind spot because i'm trained in several martial arts and one of them, uh, includes, uh, an awareness that the masters bring, uh, of anything on all sides of you. it could be behind you or whatever. this is directly in a blind spot, so i'm trained to respond negatively to something right above my head. [new take] this now i have an eye on. you see, it's on my periphery and if i needed to block it, attack it, stop it somehow. [does a martial arts move with his hands] i could come right out. i mean, i know you're doing your job, but... documentary crew member: [talking over dwight] it's..."
268,dwight, i'm doing my job.
269,michael," i think better to be a happy idiot then a, um... then someone who knows the truth."
270,michael," hey, uh, can i help you out in here?"
271,mr. brown," oh, i'm all set, thanks."
272,michael, gotcha. good. i'd go with the rows. that's a good idea.
273,michael," today is diversity day and someone's going to come in and talk to us about diversity. it's something that i've been pushing, that i've been wanting to push, for a long time and corporate mandated it. and i never actually talked to corporate about it. they kind of beat me to the punch, the bastards. but i was going to. and i think it's very important that we have this. i'm very, very excited."
274,jim," that's the thing. it's very sturdy paper and on the back it says, ""100% post-consumer content."" what? hello? uh-huh. wait. what? i'm sorry, mr. decker. i think i'm losing you. [shedder whirring] hello? hello? yeah. hold on one second. i don't know. hold on one second."
275,jim, do you really have to do that right now?
276,dwight, yes i do. i should have done it weeks ago actually.
277,jim," mr. decker, i'm sorry about that. what were you... can you hold on one second? yeah, just one second. thanks. [power off, silence] hello? that's it. perfect. so what i was saying... [dialing tone] hello? thanks, dwight."
278,dwight, retaliation. tit for tit.
279,jim, that is not the expression.
280,dwight," well, it should be."
281,jim," this is my biggest sale of the year. they love me over there for some reason. i'm not really sure why but i make one call over there every year, just to renew their account, and that one call ends up being 25% of my commission for the whole year, so i buy a mini bottle of champagne, celebrate a little. and this year i'm pushing recycled paper on them for one percent more. i know. i'm getting cocky. right?"
282,jim, solitaire?
283,pam," yeah, freecell."
284,jim, six on seven.
285,pam, i know. i saw that.
286,jim," so then, why didn't you do it?"
287,pam, i'm saving that 'cause i like it when the cards go t-ts-ts-tch-tch-tch.
288,jim, who doesn't love that?
289,michael," hey, oscar! how are you doing, man? "
290,oscar, all right.
291,michael, did you have a good weekend going there?
292,oscar, it was fine.
293,michael," oh yeah, i bet it was fun. [to mr. brown] oh, hey! this is oscar---"
294,oscar, martinez.
295,michael,"  right. see? i don't even know, first-name basis!"
296,mr. brown, great. we're all set.
297,michael," oh hey, well, diversity, everybody, let's do it. oscar works in... here. jim, could you wrap it up, please?"
298,jim," yeah, uh, mr. decker, please."
299,michael," it's diversity day, jim. i wish every day was diversity day."
300,jim, you know what? i'm actually going to have to call you back. thank you. sorry about that.
301,mr. brown, thank you. thank you. thank you. great.
302,michael," come on people, let's get 'em in. get in the cards! get in the cards!"
303,mr. brown," thank you. thank you very much. ok. thanks for filling these out and i promise this'll be quick. at diversity today, our philosophy is about honesty and positive expectations. we believe that 99% of the problems in the workplace arise simply out of ignorance."
304,michael," you know what? this is a color-free-zone here. stanley, i don't look at you as another race."
305,mr. brown," uh, see this is what i'm talking about. we don't have to pretend we're color-blind."
306,michael," exactly, were not..."
307,mr. brown, that's fighting ignorance with more ignorance.
308,michael, with tolerance.
309,mr. brown, no. with more ignorance.
310,michael, ignorance.
311,mr. brown," right. exactly. uh, instead, we need to celebrate our diversity."
312,michael, let's celebrate.
313,mr. brown, right. ok.
314,michael, celebrate good times. come on! let's celebrate diversity. right?
315,mr. brown," yes, exactly. now here's what we're going to do. i've noticed that..."
316,michael, you know what? here's what we're going to do. why don't we go around and everybody... everybody say a race that you are attracted to sexually. i will go last. go.
317,dwight, i have two. white and indian.
318,mr. brown," actually, i'd prefer not to start that way. michael, i would love to have your permission to run this session. can i have your permission?"
319,michael, yes.
320,mr. brown,  thank you very much. and it would also help me if you were seated.
321,michael, ok.
322,mr. brown," thank you. ok. now, at the start of the session, i had you all write down an incident that you found offensive in the workplace. now, what i'm going to do is choose one and we're going to act it out."
323,dwight, a few of the ground rules? 
324,michael," hey, hey why don't you run it by me and i'll run it by him."
325,dwight," ok, can we steer away from gay people?"
326,mr. brown, um...
327,dwight," i'm sorry. it's an orientation. it's not a race. plus a lot of other races are intolerant of gays, so...paradox."
328,mr. brown," well, we only have an hour."
329,dwight, i figured it would save time.
330,michael, ok. why don't we just defer to mr...
331,mr. brown, mr. brown.
332,michael," ah. oh, right! ok. first test. i will not call you that."
333,mr. brown," well, it's my name. it's not a test. ok? um, so looking through the cards, i've noticed that many of you wrote down the same incident, which is ironic, because it's the exact incident i was brought in here to respond to. now, how many of you are familiar with the chris rock routine? very good. ok."
334,michael," how come chris rock can do a routine and everybody finds it hilarious and ground-breaking and then i go and do the exact same routine, same comedic timing, and people file a complaint to corporate? is it because i'm white and chris is black?"
335,mr. brown, so we're going to reenact this with a more positive outcome.
336,michael, i will play the chris rock guy. i would like to see someone else pull this off.
337,mr. brown," well, let's have someone who wasn't involved in the reenactment."
338,michael," ok, i will play guy listening."
339,mr. brown," great. guy listening. ok, anyone else remember?"
340,kevin, i remember.
341,mr. brown, great. you're the chris rock guy and you're guy listening.
342,michael, ok.
343,michael, kevin is a great guy. he's a great accountant. he is not much of an entertainer.
344,kevin," basically, there are two types of black people and black people are actually more racist because they hate the other type of black people. every time the one type wants to have a good time, then the other type comes in and makes a real mess."
345,michael," ok. i'm sorry. i'm sorry. he's ruin... he's butchering it. could you just let me... [as chris rock] every time... every time black people want to have a good time, some ignant ass... [bleep] i take care of my kid!"
346,mr. brown, wait a second.
347,michael, [bleep] they always want credit for something they supposed to do!
348,mr. brown, stop it!
349,michael, [as chris rock] what you want a cookie?
350,mr. brown," now, this is a simple acronym. hero. uh, at diversity today, we believe it is very easy to be a hero. all you need are honesty, empathy, respect and open-mindedness."
351,dwight," excuse me, i'm sorry, but that's not all it takes to be a hero."
352,mr. brown," oh, great. well, what is a hero to you?"
353,dwight," a hero kills people, people that wish him harm."
354,mr. brown, ok.
355,dwight," a hero is part-human and part-supernatural. a hero is born out of a childhood trauma, or out of a disaster that must be avenged."
356,mr. brown," ok, you're thinking of a superhero."
357,dwight, we all have a hero in our heart.
358,mr. brown," now, i need you to take these forms. this kind of expresses the joint experience we had today. and i need you to look 'em over and sign them as kind of a group pledge."
359,michael, [clears throat] i don't think i can sign this.
360,mr. brown, i can't leave until you do.
361,michael," well, ok, it says here that i learned something and i knew all this stuff already, so... i know, i could sign something that says that i taught something, or that i helped you teach something, so... pam! where is she? pam, could we change something on this?"
362,mr. brown," michael, can i talk to you candidly?"
363,michael, sure.
364,mr. brown, we both know that i'm here because of the comments you made.
365,michael," here's the thing. this office, i think this is very advanced in terms of... racial awareness and it's probably more advanced than you're used to. that's probably throwing you off a little bit."
366,mr. brown," um, it's not throwing me. i need your signature."
367,michael," ok, well i know. you told me that several times."
368,mr. brown," yes, but you're not listening to me. yours is the only signature i need.      "
369,michael, ok.
370,mr. brown, those are my instructions from the corporate offices to put you through this seminar for the comments that you made. the reason i made copies for everyone was so you wouldn't be embarrassed.
371,michael," well, here i am thinking that you actually cared about diversity training. and you don't."
372,mr. brown, don't worry about dating.
373,michael,  i won't.
374,mr. brown, ok. thank you.
375,michael," yeah, yeah."
376,michael," ""i regret my actions. i regret offending my coworkers. i pledge to bring my best spirit of honesty, empathy, respect and open-mindedness..."" open-mindedness, is that even a word? ""...into the workplace. in this way, i can truly be a hero. signed, daffy duck."" [laughing] he's going to lose it when he reads that."
377,jim," yeah, hi. is mr. decker around? oh, well, could you just have him call me after lunch? thank you."
378,michael," ""i pledge to always keep an open mind and an open heart."" i do believe... in that part of the pledge i that just read. but a pledge? come on. i mean who are we, the girl scouts? no. look... the guy, ""mr. brown,"" he got us halfway there. he got us talking. well, no. i got us talking. he got us nothing. he insulted us and he abandoned us. you call that diversity training? i don't. were there any connections between any of us? did anyone look each other in the eye? was there any emotion going on? no. where was the heart? i didn't see any heart. where was my oprah moment? ok, get as much done as you can before lunch because, afterward, i'm going to have you all in tears."
379,michael, all right? everybody pretty? come on. here we go. it's time. let's do some good.
380,toby," hey, we're not all going to sit in a circle indian style are we? [laughing]"
381,michael, get out.
382,toby, i'm sorry.
383,michael," no, this is not a joke. ok? that was offensive and lame. so double offensive. this is an environment of welcoming and you should just get the hell out of here. ok, let's go. let's do it. come on. let's have some fun, everybody. here we go. take a seat. cop a squat. and um... thanks for coming in. um... diversity... is the cornerstone of progress as i've always said. but don't take my word for it. let's take a look at the tape."
384,michael," [on the tape] hi. i'm michael scott. i'm in charge of dunder mifflin paper products here in scranton, pennsylvania but i'm also the founder of diversity tomorrow, because today is almost over. abraham lincoln once said that, ""if you're a racist, i will attack you with the north."" and those are the principles that i carry with me in the workplace."
385,michael, ok. questions? comments? anybody? jim?
386,jim," : uh, is that it?"
387,michael, yes. i only had an hour to put it together but i'm going to add on to it later on.
388,kevin, it was kind of hard to hear.
389,michael," uh, yes. that probably had something to do with the camera work. anybody else? um..."
390,kelly, i have a customer meeting.
391,michael," yeah, well, if you leave we'll only have two left. yes. enjoy. absolutely. namaste. ok, well since i am leading this, let's get down to business and why don't i just kind of introduce myself, ok? um. i am michael and i am part english, irish, german and scottish. sort of a virtual united nations. but what some of you might not know is that i am also part native american indian."
392,oscar, what part native american?
393,michael, two fifteenths.
394,oscar," two fifteenths, that fraction doesn't make any sense."
395,michael," well, you know what, it's kind of hard for me to talk about it. their suffering. so who else? let's get this popping. come on. who's going? who's going? let's go here. oscar, right here. you're on."
396,oscar," ok, michael, um... both my parents were born in mexico."
397,michael," oh, yeah..."
398,oscar," and, uh, they moved to the united sates a year before i was born. so i grew up in the united states."
399,michael, wow.
400,oscar, my parents were mexican.
401,michael," wow. that is... that is a great story. that's the american dream right there, right?"
402,oscar, thank... yeah...
403,michael," um, let me ask you, is there a term besides mexican that you prefer? something less offensive?"
404,oscar, mexican isn't offensive.
405,michael," well, it has certain connotations."
406,oscar, like what?
407,michael, like... i don't... i don't know.
408,oscar," what connotations, michael? you meant something."
409,michael," no. now, remember that honesty..."
410,oscar, i'm just curious.
411,michael," ...empathy, respect... [phone ringing] jim! jim!"
412,jim, hello? hello?
413,michael," i have something here. i want you to take a card. put it on your fore... don't look at the card. i want you to take the card and put it on your forehead and... take a card, take a card, any card. um... and i want you to treat other people like the race that is on their forehead. ok? so everybody has a different race. nobody knows what their race is, so... i want you to really go for it, cause this is real. you know, this isn't just an exercise. this is real life. and... i have a dream that you will really let the sparks fly. get 'er done."
414,michael, why? because martin luther king is a hero of mine. there's this great chris rock bit about how streets named after martin luther king tend to be more violent. i'm not going to do it but it's...
415,michael, oh this is a good one.
416,pam," um, hi. how are you?"
417,stanley, fine. how are you?
418,pam, great.
419,michael, push it.
420,stanley, i admire your culture's success in america.
421,pam, thank you.
422,michael, good. bom bom bom-bom bom. come on olympics of suffering right here. slavery versus the holocaust. come on.
