Name,Line
michael,no absolutely under this regime it will not leave this office zips his lips like that
phyllis,so what does downsizing actually mean
stanley,well
oscar,you guys better update your resumes just like im doing
angela,i bet its gonna be me probably gonna be me
kevin,yeah itll be you
pam,i have an important question for you
jim,yes
pam,are you going to angelas cat party on sunday
jim,yeah stop that is ridiculous
michael,am i going to tell them no i am not going to tell them i dont see the point of that as a doctor you would not tell a patient if they had cancer
michael,hey
ryan,hey
pam,this is mr scott
michael,guilty guilty as charged
ryan,ryan howard from the temp agency daniqua sent me down to start today
michael,howard like moe howard three stooges
ryan,yup
michael,watch this this is moe nyucknyucknyucknyucknyuck mee hold hand up for a high five ah right here three stooges oh pam its a guy thing pam im sort of a student of comedy watch this here we go yelling in cod german im hitler adolf hitler continues with cod german
pam,i dont think it would be the worst thing if they let me go because then i might i dont think its many little girls dream to be a receptionist i like to do illustrations um mostly watercolor a few oil pencil um jim thinks theyre good
pam,dunder mifflin this is pam
jim,sure mr davis let me call you right back yeah something just came up two minutes thank you very much dwight what are you doing
dwight,what
jim,what are you doing
dwight,just clearing my desk i cant concentrate
jim,its not on your desk
dwight,its overlapping its all spilling over the edge one word two syllables demarcation
dwight,you cant do that
jim,why not
dwight,safety violation i could fall and pierce an organ
jim,crosses fingers well see dwight begins smashing pencils with his phone this is why the whole downsizing thing just doesnt bother me
dwight,downsizing
dwight,downsizing i have no problem with that i have been recommending downsizing since i first got here i even brought it up in my interview i say bring it on
pam,you just still have these messages from yesterday
michael,relax everythings under control uh yeah yeah thats important right oh this is so important i should run to answer it imitating sixmillion dollar man sound effect
pam,what
michael,come on sixmillion dollar man steve austin actually that would be a good salary for me dont you think six million dollars memo to jan i deserve a raise
pam,dont we all
michael,im sorry
pam,nothing
michael,if youre unhappy with your compensation maybe you should take it up with hr ok not today ok pam just be professional sighs
michael,i think im a role model here i think i garner peoples respect imitating a pa attention all dunder mifflin employees please we have a meeting in the conference room asap
michael,people i respect heroes of mine would be bob hope abraham lincoln definitely bono and probably god would be the fourth one and i just think all those people really helped the world in so many ways that its really beyond words its really incalculable
michael,now i know theres some rumors out there and i just kind of want to set the record straight
dwight,im assistant regional manager i should know first
michael,assistant to the regional manager
dwight,ok um can you just tell me please just tell me quietly can you whisper it in my ear
michael,im about to tell everybody im just about to tell everybody
oscar,cant you just tell us
dwight,please ok do you want me to tell em
michael,you dont know what it is laughs
dwight,ok you tell em with my permission permission granted
michael,i dont need your permission
dwight,go ahead
michael,corporate has deemed it appropriate to enforce an ultimatum upon me and jan is thinking about downsizing either the stamford branch or this branch
ryan,i heard they might be closing this branch down thats just the rumor going around this is my first day i dont really know
oscar,yeah but michael what if they downsize here
michael,not gonna happen
stanley,it could be out of your hands michael
michael,it wont be out of my hands stanley ok i promise you that
stanley,can you promise that
dwight,on his mothers grave
michael,no
phyllis,what
michael,well yeah it is a promise and frankly im a little insulted that you have to keep asking about it
stanley,its just that we need to know
michael,i know hold on a second i think pam wanted to say something pam you had a look that you wanted to ask a question just then
pam,i was in the meeting with jan and she did say that it could be this branch that gets the axe
jan,are you sure about that
michael,well pam maybe you should stick to the ongoing confidentiality agreement of meetings
dwight,pam information is power
stanley,you cant say for sure whether itll be us or them can you
michael,no stanley no you did not see me in there with her i said if corporate wants to come in here and interfere then theyre gonna have to go through me right you can go mess with joshs people but im the head of this family and you aint gonna be messing with my chillin
jim,if i left what would i do with all this useless information in my head you know tonnage price of manila folders um pams favorite flavor of yogurt which is mixed berry
pam,jim said mixed berries well yeah hes on to me um laughs
michael,watch out for this guy dwight schrute in the building this is ryan the new temp
ryan,whats up nice to meet you
michael,introduce yourself be polite
dwight,dwight schrute assistant regional manager
michael,assistant to the regional manager so uh dwight tell him about the kung fu and the car and everything
dwight,uh yeah i got a 78 280z bought it for $1200 fixed it up its now worth three grand
michael,thats his profit
dwight,new engine new suspension i got a respray ive got some photos
dwight,damn it jim
michael,ok hold on hold on the judge is in session what is the problem here
dwight,he put my stuff in jello again
pam,laughing
dwight,thats real professional thanks thats the third time and it wasnt funny the first two times either jim
dwight,its ok here but people sometimes take advantage because its so relaxed im a volunteer sheriffs deputy on the weekends and you cannot screw around there thats sort of one of the rules
michael,what is that
dwight,that is my stapler
michael,no no no do not take it out you have to eat it out of there because there are starving people in the world turns to camera which i hate and it is a waste of that kind of food
dwight,ok you know what you can be a witness points to ryan can you reprimand him
jim,how do you know it was me
dwight,its always you are you going to discipline him or not
michael,discipline kinky laughs all right heres the deal you guys the thing about a practical joke is you have to know when to start and as well as when to stop
dwight,yeah
michael,and yeah jim this is the time to stop putting dwights personal effects into jello
jim,ok dwight im sorry because i have always been your biggest flan
michael,laughing nice thats the way it is around here it just kind of goes round and round
ryan,you shouldve put him in custardy
michael,hey yes new guy he scores
dwight,ok thats great i guess what im most concerned with is damage to company property thats all
michael,pudding pudding im trying to think of another dessert to do
jim,do you like going out at the end of the week for a drink
pam,yeah
jim,thats why were all going out so we can have an endoftheweekdrink
pam,so when are we going out
jim,tonight hopefully
pam,ok yeah
roy,hey man
jim,whats going on
roy,hey baby
pam,hey
pam,roys my fiance weve been engaged about three years we were supposed to get married in september but i think were gonna get married in the spring
pam,do you mind if i go out for a drink with these guys
roy,no no come on lets get out of here and go home
pam,ok im gonna be a few minutes so its only twenty past five i still have to do my faxes
jim,you know what you should come with us because you know were all going out and it could be a good chance for you to see what people are like outside the office i think it could be fun
roy,it sounds good seriously weve gotta get going
jim,yeah yeah
jim,um whats in the bag
roy,just tell her ill talk to her later
jim,no definitely all right dude awesome will do
jim,do i think ill be invited to the wedding scratches head
michael,so have you felt the vibe yet we work hard we play hard sometimes we play hard when we should be working hard right i guess the atmosphere that ive created here is that im a friend first and a boss second and probably an entertainer third knock at door just a second right oh hey do you like the jamie kennedy experiment punkd and all that kind of stuff
ryan,yeah
michael,you are gonna be my accomplice just go along with it ok
ryan,all right
michael,just follow my lead dont pimp me all right come in so uh corporate just said that i dont want to
pam,you got a fax
michael,oh thank you pam can you come in here for a sec just have a seat i was gonna call you in anyway you know ryan as you know there is going to be downsizing and you have made my life so much easier in that i am going to have to let you go first
pam,what why
michael,why well theft and stealing
pam,stealing what am i supposed to have stolen
michael,postit notes
pam,postit notes what are those worth 50 cents
michael,50 cents yeah if you steal a thousand postit notes at 50 cents apiece and you know  youve made a profit margin youre gonna run us out of business pam
pam,are you serious
michael,yeah i am
pam,i cant believe this i mean i have never even stolen as much as a paperclip and youre firing me
michael,but the best thing about it is that were not going to have to give you any severance pay because that is gross misconduct and just clean out your desk im sorry
michael,pam starts crying you been xd punk laughing surprise its a joke we were joking around see ok he was in on it he was my accomplice and it was kind of a morale booster thing and we were showing the new guy around giving him the feel of the place so you god we totally got you
pam,youre a jerk
michael,i dont know about that
michael,what is the most important thing for a company is it the cash flow is it the inventory nuhuh its the people the people my proudest moment here was not when i increased profits by 17 or when i cut expenses without losing a single employee no no no no no it was a young guatemalan guy first job in the country barely spoke english he came to me and said mr scott would you be the godfather of my child wow wow didnt work out in the end we had to let him go he sucked
pam,hey
jim,hey
jim,how are things
pam,good i thought you were going out for a drink with
jim,oh no i just decided not to hows your headache
pam,its better thanks
jim,good good
pam,yeah
jim,thats great
pam,is
jim,yeah
pam,um are you
jim,am i walking out
pam,yes
jim,yes i do you want to
pam,yeah
jim,great let me just
jim,car horn honking oh roy
pam,yeah listen have a nice weekend
jim,yeah definitely you too enjoy it looks at camera you know what just come here
dwight,dwight schrute my fathers name also dwight schrute my grandfathers name dweide schrude amish thats my family i dont know where they came the amish came from originally uh amland
michael,holding up a dundie and pretending it is talking hello im michael scott im the best boss in the world
jim,my name is jim halpert and i am a sales rep which is a very important job um without me dozens literally dozens of small businesses would go paperless  they would have to write on their hands or bed sheets or who knows you know total chaos total chaos i mean or they could get their paper somewhere else staples maybe i dont know
michael,pam pampam pam has been with us for  forever right pam
pam,i guess
michael,yeah at one time or another every guy in the office has sprayed on pam
pam,what
michael,messages
dwight,people respond to the human touch and thats what i give them i can look at a client and i can say hello how are you hows business been going and we can go back and forth for sometime and uh then ill say how much how many reams do you want and theyll order it and then ill take care of all the sales ill make sure that they get that paper and they appreciate that
michael,ah right here three stooges high five michael and ryan high five oh pam its a guy thing pam camera cuts to pam then back to michael now who was the one before curly
ryan,uh shemp
michael,curly very good curly joe derita
ryan,just curly joe derita was different
michael,well comedys kinda my thing watch this heres curly joe mmm me me me me me me me me me me me me oh i forgot here we go yelling in cod german im hitler right continues with cod german me me me me me me curly joe hitler laughs
michael,all these people are walking around and theyre happy and their lives are just going along ignorance is bliss but if they knew what was lurking on the other side of that fence that furry monster imitating monster im gonna get you downsizing no they wouldnt theyd freak and im not going to play god they look to me for support and they look to me for guidance and leadership and i think if i could lie to them and it serves them then thats what im going to do
michael,so this is our sales staff they are the ones who are making calls and making us lots of money comes to a screeching halt and laughs this is accounting the numbers dudes do not let the job description fool you they are all completely crazy especially that guy he is a mental patient camera zooms in on kevin not literally of course that wouldnt work the last place youd want somebody like that is accounting hides behind office plant very interesting but stupid artie johnson its a crazy place
angela,my name is angela and um im in charge of the accounting department there are three of us kevin and oscar
oscar,its my job to keep the books in order and um i im uh immediately below my supervisor
angela,oscar how do i describe him hes like a stapler do i need a stapler yes but im still the one that has to push it down
oscar,theres a lot of anxiety i dont want to get laid off this place is like five minutes from my house
kevin,i dont wanna be laid off this is a good job for me cause i need my nights free im in a band
angela,not very worried about downsizing right now because uh i think youve met kevin and um
oscar,can i just say one thing um my friend is jewish art geller and a couple of years ago he um showed me how you can plant a tree in israel so i planted a tree so you know cause yeah we work in paper well you know i try to give back
angela,i have a lot of cat figurines on my desk i think cats really are old souls and uh phyllis thinks so too
michael,what you dont know well it can hurt you but if you dont know it wont hurt you then you can just be happy for a little while at least
michael,whats that
pam,wired
michael,oh john belushi what a crazy guy phew freaked myself out this morning
pam,oh yeah
michael,yeah i thought i found a lump i checked the uh i check the jewels every month this time you know its a little different it was fine it was fine but freaky man you know testicular cancer god cancer whoa testicles so whats um what you eating
pam,smoked turkey
michael,oh place around the corner nice all right see you later
michael,do i need to speak up grabs boom microphone hello
documentary crew member,boom microphone drops into the camera shoot can you move it out can you move it is that all right can you make that work
dwight,thats fine
documentary crew member,new take no you dont even need  thats fine well keep it
dwight,im sorry it makes me nervous
documentary crew member,understood but it is what we need to capture what youre saying as clearly as possible
dwight,i understand its in a blind spot because im trained in several martial arts and one of them uh includes uh an awareness that the masters bring uh of anything on all sides of you it could be behind you or whatever this is directly in a blind spot so im trained to respond negatively to something right above my head new take this now i have an eye on you see its on my periphery and if i needed to block it attack it stop it somehow does a martial arts move with his hands i could come right out i mean i know youre doing your job but documentary crew member talking over dwight its
dwight,im doing my job
michael,i think better to be a happy idiot then a um then someone who knows the truth
michael,hey uh can i help you out in here
mr brown,oh im all set thanks
michael,gotcha good id go with the rows thats a good idea
michael,today is diversity day and someones going to come in and talk to us about diversity its something that ive been pushing that ive been wanting to push for a long time and corporate mandated it and i never actually talked to corporate about it they kind of beat me to the punch the bastards but i was going to and i think its very important that we have this im very very excited
jim,thats the thing its very sturdy paper and on the back it says 100 postconsumer content what hello uhhuh wait what im sorry mr decker i think im losing you shedder whirring hello hello yeah hold on one second i dont know hold on one second
jim,do you really have to do that right now
dwight,yes i do i should have done it weeks ago actually
jim,mr decker im sorry about that what were you can you hold on one second yeah just one second thanks power off silence hello thats it perfect so what i was saying dialing tone hello thanks dwight
dwight,retaliation tit for tit
jim,that is not the expression
dwight,well it should be
jim,this is my biggest sale of the year they love me over there for some reason im not really sure why but i make one call over there every year just to renew their account and that one call ends up being 25 of my commission for the whole year so i buy a mini bottle of champagne celebrate a little and this year im pushing recycled paper on them for one percent more i know im getting cocky right
jim,solitaire
pam,yeah freecell
jim,six on seven
pam,i know i saw that
jim,so then why didnt you do it
pam,im saving that cause i like it when the cards go ttststchtchtch
jim,who doesnt love that
michael,hey oscar how are you doing man
oscar,all right
michael,did you have a good weekend going there
oscar,it was fine
michael,oh yeah i bet it was fun to mr brown oh hey this is oscar
oscar,martinez
michael,right see i dont even know firstname basis
mr brown,great were all set
michael,oh hey well diversity everybody lets do it oscar works in here jim could you wrap it up please
jim,yeah uh mr decker please
michael,its diversity day jim i wish every day was diversity day
jim,you know what im actually going to have to call you back thank you sorry about that
mr brown,thank you thank you thank you great
michael,come on people lets get em in get in the cards get in the cards
mr brown,thank you thank you very much ok thanks for filling these out and i promise thisll be quick at diversity today our philosophy is about honesty and positive expectations we believe that 99 of the problems in the workplace arise simply out of ignorance
michael,you know what this is a colorfreezone here stanley i dont look at you as another race
mr brown,uh see this is what im talking about we dont have to pretend were colorblind
michael,exactly were not
mr brown,thats fighting ignorance with more ignorance
michael,with tolerance
mr brown,no with more ignorance
michael,ignorance
mr brown,right exactly uh instead we need to celebrate our diversity
michael,lets celebrate
mr brown,right ok
michael,celebrate good times come on lets celebrate diversity right
mr brown,yes exactly now heres what were going to do ive noticed that
michael,you know what heres what were going to do why dont we go around and everybody everybody say a race that you are attracted to sexually i will go last go
dwight,i have two white and indian
mr brown,actually id prefer not to start that way michael i would love to have your permission to run this session can i have your permission
michael,yes
mr brown,thank you very much and it would also help me if you were seated
michael,ok
mr brown,thank you ok now at the start of the session i had you all write down an incident that you found offensive in the workplace now what im going to do is choose one and were going to act it out
dwight,a few of the ground rules
michael,hey hey why dont you run it by me and ill run it by him
dwight,ok can we steer away from gay people
mr brown,um
dwight,im sorry its an orientation its not a race plus a lot of other races are intolerant of gays soparadox
mr brown,well we only have an hour
dwight,i figured it would save time
michael,ok why dont we just defer to mr
mr brown,mr brown
michael,ah oh right ok first test i will not call you that
mr brown,well its my name its not a test ok um so looking through the cards ive noticed that many of you wrote down the same incident which is ironic because its the exact incident i was brought in here to respond to now how many of you are familiar with the chris rock routine very good ok
michael,how come chris rock can do a routine and everybody finds it hilarious and groundbreaking and then i go and do the exact same routine same comedic timing and people file a complaint to corporate is it because im white and chris is black
mr brown,so were going to reenact this with a more positive outcome
michael,i will play the chris rock guy i would like to see someone else pull this off
mr brown,well lets have someone who wasnt involved in the reenactment
michael,ok i will play guy listening
mr brown,great guy listening ok anyone else remember
kevin,i remember
mr brown,great youre the chris rock guy and youre guy listening
michael,ok
michael,kevin is a great guy hes a great accountant he is not much of an entertainer
kevin,basically there are two types of black people and black people are actually more racist because they hate the other type of black people every time the one type wants to have a good time then the other type comes in and makes a real mess
michael,ok im sorry im sorry hes ruin hes butchering it could you just let me as chris rock every time every time black people want to have a good time some ignant ass bleep i take care of my kid
mr brown,wait a second
michael,bleep they always want credit for something they supposed to do
mr brown,stop it
michael,as chris rock what you want a cookie
mr brown,now this is a simple acronym hero uh at diversity today we believe it is very easy to be a hero all you need are honesty empathy respect and openmindedness
dwight,excuse me im sorry but thats not all it takes to be a hero
mr brown,oh great well what is a hero to you
dwight,a hero kills people people that wish him harm
mr brown,ok
dwight,a hero is parthuman and partsupernatural a hero is born out of a childhood trauma or out of a disaster that must be avenged
mr brown,ok youre thinking of a superhero
dwight,we all have a hero in our heart
mr brown,now i need you to take these forms this kind of expresses the joint experience we had today and i need you to look em over and sign them as kind of a group pledge
michael,clears throat i dont think i can sign this
mr brown,i cant leave until you do
michael,well ok it says here that i learned something and i knew all this stuff already so i know i could sign something that says that i taught something or that i helped you teach something so pam where is she pam could we change something on this
mr brown,michael can i talk to you candidly
michael,sure
mr brown,we both know that im here because of the comments you made
michael,heres the thing this office i think this is very advanced in terms of racial awareness and its probably more advanced than youre used to thats probably throwing you off a little bit
mr brown,um its not throwing me i need your signature
michael,ok well i know you told me that several times
mr brown,yes but youre not listening to me yours is the only signature i need
michael,ok
mr brown,those are my instructions from the corporate offices to put you through this seminar for the comments that you made the reason i made copies for everyone was so you wouldnt be embarrassed
michael,well here i am thinking that you actually cared about diversity training and you dont
mr brown,dont worry about dating
michael,i wont
mr brown,ok thank you
michael,yeah yeah
michael,i regret my actions i regret offending my coworkers i pledge to bring my best spirit of honesty empathy respect and openmindedness openmindedness is that even a word into the workplace in this way i can truly be a hero signed daffy duck laughing hes going to lose it when he reads that
jim,yeah hi is mr decker around oh well could you just have him call me after lunch thank you
michael,i pledge to always keep an open mind and an open heart i do believe in that part of the pledge i that just read but a pledge come on i mean who are we the girl scouts no look the guy mr brown he got us halfway there he got us talking well no i got us talking he got us nothing he insulted us and he abandoned us you call that diversity training i dont were there any connections between any of us did anyone look each other in the eye was there any emotion going on no where was the heart i didnt see any heart where was my oprah moment ok get as much done as you can before lunch because afterward im going to have you all in tears
michael,all right everybody pretty come on here we go its time lets do some good
toby,hey were not all going to sit in a circle indian style are we laughing
michael,get out
toby,im sorry
michael,no this is not a joke ok that was offensive and lame so double offensive this is an environment of welcoming and you should just get the hell out of here ok lets go lets do it come on lets have some fun everybody here we go take a seat cop a squat and um thanks for coming in um diversity is the cornerstone of progress as ive always said but dont take my word for it lets take a look at the tape
michael,on the tape hi im michael scott im in charge of dunder mifflin paper products here in scranton pennsylvania but im also the founder of diversity tomorrow because today is almost over abraham lincoln once said that if youre a racist i will attack you with the north and those are the principles that i carry with me in the workplace
michael,ok questions comments anybody jim
jim,uh is that it
michael,yes i only had an hour to put it together but im going to add on to it later on
kevin,it was kind of hard to hear
michael,uh yes that probably had something to do with the camera work anybody else um
kelly,i have a customer meeting
michael,yeah well if you leave well only have two left yes enjoy absolutely namaste ok well since i am leading this lets get down to business and why dont i just kind of introduce myself ok um i am michael and i am part english irish german and scottish sort of a virtual united nations but what some of you might not know is that i am also part native american indian
oscar,what part native american
michael,two fifteenths
oscar,two fifteenths that fraction doesnt make any sense
michael,well you know what its kind of hard for me to talk about it their suffering so who else lets get this popping come on whos going whos going lets go here oscar right here youre on
oscar,ok michael um both my parents were born in mexico
michael,oh yeah
oscar,and uh they moved to the united sates a year before i was born so i grew up in the united states
michael,wow
oscar,my parents were mexican
michael,wow that is that is a great story thats the american dream right there right
oscar,thank yeah
michael,um let me ask you is there a term besides mexican that you prefer something less offensive
oscar,mexican isnt offensive
michael,well it has certain connotations
oscar,like what
michael,like i dont i dont know
oscar,what connotations michael you meant something
michael,no now remember that honesty
oscar,im just curious
michael,empathy respect phone ringing jim jim
jim,hello hello
michael,i have something here i want you to take a card put it on your fore dont look at the card i want you to take the card and put it on your forehead and take a card take a card any card um and i want you to treat other people like the race that is on their forehead ok so everybody has a different race nobody knows what their race is so i want you to really go for it cause this is real you know this isnt just an exercise this is real life and i have a dream that you will really let the sparks fly get er done
michael,why because martin luther king is a hero of mine theres this great chris rock bit about how streets named after martin luther king tend to be more violent im not going to do it but its
michael,oh this is a good one
pam,um hi how are you
stanley,fine how are you
pam,great
michael,push it
stanley,i admire your cultures success in america
pam,thank you
michael,good bom bom bombom bom come on olympics of suffering right here slavery versus the holocaust come on
stanley,who am i supposed to be
michael,no that was inadvertent we didnt actually plan that
dwight,lots of cultures eat rice doesnt help me
dwight,um shalom id like to apply for a loan
pam,thats nice dwight
dwight,ok do me something stereotypical so i can get it really quick
pam,ok i like your food
dwight,outback steakhouse australian accent im australian mate
michael,pam come on i like your food come on stir the pot stir the melting pot pam lets do it lets get ugly lets get real
pam,ok if i have to do this based on stereotypes that are totally untrue that i do not agree with you would maybe not be  a very good driver
dwight,oh man am i a woman
michael,youll notice i didnt have anybody be an arab i thought that would be too explosive no pun intended but i just though too soon for arabs maybe next year um you know the balls in their court
jim,what are you watching
ryan,chappelles show
jim,really
ryan,i downloaded it on her computer i hope she doesnt mind she just had a lot of extra space
jim,no way i think she likes this stuff
ryan,great shes cute huh
jim,yeah you know shes engaged but
ryan,oh no the girl in the sketch
jim,oh yeah shes hot
kevin,hey
angela,hey
kevin,you wanna go to the beach
angela,sure
kevin,you wanna get high
angela,no
kevin,i think you do mon
angela,stop
michael,ok all right no its good you just need to push it you need to go a little bit further all right ok
michael,voice raised indian accent kelly how are you
kelly,i just had the longest meeting
michael,oh welcome to my convenience store would you like some googi googi i have some very delicious googi googi only 99 cents plus tax try my googi googi lowering voice try my googi googi highpitched voice try my googi googi try my slap
michael,trying not to cry all right all right yes that was great she gets it now she knows what its like to be a minority
jim,on the phone mr decker we didnt lose your sale today did we excellent ok let me just get your whats that no we didnt close last time i just need your oh wwhat code were you given oh ok thats actually another salesman here i can redo it if you want to do that oh he gave you a discount no i dont blame you
michael,i just hated it when that guy was in here mr brown if that was his real name i mean he had never met any of us before and here he was telling us how to do our thing i just wanted i just wanted to do it our way you know on our own man i should have gotten some food
kevin,itialian accentmaybe some spaghetti
michael,okay kevin you can take that off that thing ok that would really really have shown him up wouldnt it if id brought in some burritos or some colored greens or some pad thai i love pad thai
stanley,its collard greens
michael,what
stanley,its collard greens
michael,that doesnt really make sense because you dont call them collared people thats offensive hmmm ok well its after five so thank you very much buena vista oscar thank you good job oh my man thank you brazil nice
jim,pam is asleep resting her head on jims shoulder um hey
pam,stirs mmmm
jim,hey
pam,oh
jim,we can go
pam,sorry
jim,thats fine
jim,uh not a bad day
mr brown,thanks for filling these out i promise this will be quick we only have about an hour
michael,yeah i would like to see us erase 100 years of racism in an hour
mr brown,does this company have 100 years to erase
michael,no the country
mr brown,oh right more like 200 years
michael,yeah more like a 1000
mr brown,okay um uh ill try to make this quick
dwight,i am a salesman okay and i dont think we should be doing this during prime sales hours if you can prove to me that diversity is going to help my sales ill go elephant running with james earl jones i really will but not on spec
mr brown,hero at diversity today we believe it is very easy to be a hero all you need are honesty empathy respect and openmindedness
michael,i just think that hero its cute but its its empty you know its easy dwight you know what i came up with some terms of my own could you put these on the board the first one is inclusion new attitudes colorblind
mr brown,oh nice
michael,expectations
mr brown,good
michael,thank you sharing
mr brown,great
michael,and tolerance
mr brown,beautiful
pam,um that spells incest
mr brown,oh my sorry that is not appropriate
michael,well its not ideal but you have to give me some credit cause i made it into a word
mr brown,yeah but its not appropriate this is not helpful as a memory aid
michael,i will give you a number of reasons why it is actually okay first incest is bad racism is bad no brainer right two incest were all a family right were all brothers and sisters racial message um number three and this is a fact the states where they have a lot of racism are the states where they have a lot of incest okay and finally
mr brown,okay michael i just
michael,no no no no wait final one final one this is important the more we can encourage interracial dating as a society the further away we get from incest literally
pam,it wouldve been just as easy for him to spell insect of course that wouldnt have made any sense either
mr brown,does anyone have anything else at all anyone besides michael
ryan,i have something
mr brown,yes please
ryan,um well i grew up here in scranton and when i was a kid the guy who lived next door was a former baseball player who actually played pro ball before the leagues were integrated and he had the most incredible stories about
michael,okay im sorry im sorry this guys a temp and i shouldve told you that
mr brown,no no no no an outsiders perspective would probably be pretty helpful
michael,yeah but no seriously uh you know hes not a member of the full staff so uh ryan you wanna just step outside
ryan,what do you want me to do
michael,well maybe you should go down to the parking lot you know what yes go down to the parking lot and check to se if any of our guests have parked in the handicapped spots cool cause the handicaps get a raw deal oh you know what that ties right into new attitudes new attitudes about handicap people very important
mr brown,im sorry michael were actually out of time
pam,yeah um theres good things about michael he uh uh yeah definitely um
michael,in this way i can truly be a hero signed daffy duck laughing hes going to lose it when he reads that doh hogan not again hogan get col burkhalter on the phone laughing im kind of a hogan around here and kind of jan is kind of col burkhalter then dwight is schultz but its oh god we have fun we have fun cause hes gonna be pissed making voice no doubt about it
dwight,what you doing
jim,freecell
dwight,solitaire is a oneplayer game it cant have two players
jim,well i mean
dwight,whats your win rate
pam,seventysix percent whats yours
dwight,youre not allowed to play twoplayer you need to start over
pam,youre doing fine
michael,are we going  dwight puts four fingers in front of the camera to start a countdown dont do that just say action when were ready
dwight,dunder mifflin michael scott diversity tomorrow take four and action
michael,mumbling should i turn no do it again
dwight,diversity tomorrow take five action
michael,hi im michael scott im in charge of dunder mifflin paper products here in scranton pennsylvania but im also the founder of diversity tomorrow because today is almost over abraham lincoln once said that if youre a racist i will attack you with the north and those are the principles damn it okay sorry dont laugh please dont laugh this time dwight youre its its bugging me let me give myself a countdown ready three two one
dwight,take six
michael,just let me do it god three two one hi im michael scott im in charge of dunder mifflin paper products here in scranton keep the camera steady please people are gonna get sea sick watching this ready three two one
dwight,action
michael,dont please dont say anything sighs oh god
dwight,and action lights camera action whenever youre ready
michael,could i count myself down please dwight three two one hi im michael scott im in charge of dunder mifflin paper products here in scranton pennsylvania but im also the founder of diversity tomorrow because today is almost over abraham lincoln once said that if youre a racist i will attack you with the north and those are the principles that i carry with me in the workplace
dwight,cut
michael,wandering around the room during his diversity exercise i want you to push it i want you to push cause breakthroughs are right around the corner somethings going to pop here somethings going to pop between a party feel what its like to be in someone elses skin what does it feel like to be a different race it feels pretty bad doesnt it so let that come out
michael,yeah i marched on washington back in the day i went to the washington monument and the lincoln memorial us mint congressman talked to our class it was pretty cool
